Metin,Normal Metin,Niyet,Kaynak,Bölüm
sence bu eserden ne ders çıkarılır kısaca değerlendir,sence bu eserden ne ders cikarilir kisaca degerlendir,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
Mai ve Siyah,mai ve siyah,KITAP_ARAMA,KitapPusula-V6,eğitim
romanda hangi maceralar yaşanıyor anlatır mısın,romanda hangi maceralar yasaniyor anlatir misin,OLAY_SORUSU,KitapPusula-V6,eğitim
bu eserin yazan kişi kim söyler misin,bu eserin yazan kisi kim soyler misin,YAZAR_SORUSU,KitapPusula-V6,eğitim
biraz önce neye bakıyorduk,biraz once neye bakiyorduk,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
model kaç tür tanıyor şu anda,model kac tur taniyor su anda,KATEGORI_LISTESI,KitapPusula-V6,eğitim
bu kitabın kim kaleme aldı söyler misin,bu kitabin kim kaleme aldi soyler misin,YAZAR_SORUSU,KitapPusula-V6,eğitim
lütfen kitap bilgisini yinele,lutfen kitap bilgisini yinele,TEKRAR_GOSTER,KitapPusula-V6,eğitim
söyler misin kodlarını kim yazdı bana,soyler misin kodlarini kim yazdi bana,BOT_YARATICI,KitapPusula-Final-özel,eğitim
bu kitapta ana olay nedir anlatır mısın,bu kitapta ana olay nedir anlatir misin,OLAY_SORUSU,KitapPusula-V6,eğitim
kitabın mesajını yorumla,kitabin mesajini yorumla,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
kitap kartını aç bir kez daha,kitap kartini ac bir kez daha,TEKRAR_GOSTER,KitapPusula-V6,eğitim
selamlar bugün de,selamlar bugun de,SELAMLAMA,KitapPusula-V6,eğitim
sen her kitabı bulabiliyor musun,sen her kitabi bulabiliyor musun,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
bana manhattan hava durumunu ver,bana manhattan hava durumunu ver,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
model edebî kategorileri göster şu anda,model edeb kategorileri goster su anda,KATEGORI_LISTESI,KitapPusula-V6,eğitim
bu kitap uzun bir kitap mı hatırlatır mısın,bu kitap uzun bir kitap mi hatirlatir misin,SAYFA_SORUSU,KitapPusula-V6,eğitim
sağ ol sana,sag ol sana,TESEKKUR,KitapPusula-Final-özel,eğitim
tekrar merhaba orada mısın,tekrar merhaba orada misin,SELAMLAMA,KitapPusula-V6,eğitim
KitapPusula tüm kitaplar sende var mı,kitappusula tum kitaplar sende var mi,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
cross validation sonucu nedir,cross validation sonucu nedir,MODEL_BILGISI,KitapPusula-V6,eğitim
az önceki kitap uzun bir kitap mı,az onceki kitap uzun bir kitap mi,SAYFA_SORUSU,KitapPusula-V6,eğitim
bu kitap neyi konu alıyor anlatır mısın,bu kitap neyi konu aliyor anlatir misin,OZET_SORUSU,KitapPusula-V6,eğitim
kısaca hangi görevleri yaparsın lütfen,kisaca hangi gorevleri yaparsin lutfen,BOT_YETENEK,KitapPusula-Final-özel,eğitim
şimdilik tekrar görüşmek üzere,simdilik tekrar gorusmek uzere,VEDA,KitapPusula-Final-özel,eğitim
merak ettim genç misin şu anda,merak ettim genc misin su anda,BOT_YAS,KitapPusula-Final-özel,eğitim
seni kim yaptı bana,seni kim yapti bana,BOT_YARATICI,KitapPusula-Final-özel,eğitim
en iyi spagetti tarifini ara,en iyi spagetti tarifini ara,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
yüz elli bin iki yüz yetmiş,yuz elli bin iki yuz yetmis,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
nasıl kullanılır,nasil kullanilir,YARDIM,KitapPusula-V6,eğitim
merak ettim hangi ülkedesin şu anda,merak ettim hangi ulkedesin su anda,BOT_KONUM,KitapPusula-Final-özel,eğitim
kitabın ismini hatırlat hatırlatır mısın,kitabin ismini hatirlat hatirlatir misin,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
son aradığım kitap neydi,son aradigim kitap neydi,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
bana neşeli bir cümle kur olur mu,bana neseli bir cumle kur olur mu,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
bu eserin yazarının adı ne söyler misin,bu eserin yazarinin adi ne soyler misin,YAZAR_SORUSU,KitapPusula-V6,eğitim
toplam kaç eser bulunuyor söyler misin,toplam kac eser bulunuyor soyler misin,KITAP_SAYISI,KitapPusula-V6,eğitim
desteklenen kategoriler neler şu anda,desteklenen kategoriler neler su anda,KATEGORI_LISTESI,KitapPusula-V6,eğitim
az önceki kitap için hepsini tekrar et,az onceki kitap icin hepsini tekrar et,TEKRAR_GOSTER,KitapPusula-V6,eğitim
kendini nasıl hissediyorsun söyler misin,kendini nasil hissediyorsun soyler misin,NASILSIN,KitapPusula-V6,eğitim
Martin Eden,martin eden,KITAP_ARAMA,KitapPusula-V6,eğitim
kısaca Python kodu yaz,kisaca python kodu yaz,ALAN_DISI,KitapPusula-Final-özel,eğitim
tam bilgiyi getir lütfen,tam bilgiyi getir lutfen,TEKRAR_GOSTER,KitapPusula-V6,eğitim
çarşamba için hava hiç değişti mi,carsamba icin hava hic degisti mi,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
merak ettim kaç yaşındasın,merak ettim kac yasindasin,BOT_YAS,KitapPusula-Final-özel,eğitim
güneşli mi olacak,gunesli mi olacak,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
sen dünyadaki tüm eserleri tanıyor mu şu anda,sen dunyadaki tum eserleri taniyor mu su anda,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
bana tarih ver,bana tarih ver,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
bu eserin kim tarafından yazıldı söyler misin,bu eserin kim tarafindan yazildi soyler misin,YAZAR_SORUSU,KitapPusula-V6,eğitim
Ali neden borçlanıyor,ali neden borclaniyor,OLAY_SORUSU,KitapPusula-V6,eğitim
bugünün tarihi lütfen,bugunun tarihi lutfen,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
lütfen kitap bilgisini yinele lütfen,lutfen kitap bilgisini yinele lutfen,TEKRAR_GOSTER,KitapPusula-V6,eğitim
bu eserle ilgili konuyu daha geniş açıkla,bu eserle ilgili konuyu daha genis acikla,DETAY_SORUSU,KitapPusula-V6,eğitim
yorumuna göre karakterin davranışı nasıl değerlendirilebilir yorumlar mısın,yorumuna gore karakterin davranisi nasil degerlendirilebilir yorumlar misin,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
Robinson Crusoe,robinson crusoe,KITAP_ARAMA,KitapPusula-V6,eğitim
hangi sınıflar var söyler misin,hangi siniflar var soyler misin,KATEGORI_LISTESI,KitapPusula-V6,eğitim
bir yaşın var mı,bir yasin var mi,BOT_YAS,KitapPusula-Final-özel,eğitim
şimdilik başka zaman devam edelim sonra,simdilik baska zaman devam edelim sonra,VEDA,KitapPusula-Final-özel,eğitim
sence bu eserden ne ders çıkarılır,sence bu eserden ne ders cikarilir,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
bana komutları göster lütfen,bana komutlari goster lutfen,YARDIM,KitapPusula-V6,eğitim
tamam sohbeti bitirelim KitapPusula,tamam sohbeti bitirelim kitappusula,VEDA,KitapPusula-Final-özel,eğitim
Yüzüklerin Efendisi,yuzuklerin efendisi,KITAP_ARAMA,KitapPusula-V6,eğitim
açıklar mısın sen nesin lütfen,aciklar misin sen nesin lutfen,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
hangi ülkedesin lütfen,hangi ulkedesin lutfen,BOT_KONUM,KitapPusula-Final-özel,eğitim
kaç kitabı arayabiliyorsun,kac kitabi arayabiliyorsun,KITAP_SAYISI,KitapPusula-V6,eğitim
bugünün tarihi,bugunun tarihi,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
ne yapabiliyorsun anlatır mısın,ne yapabiliyorsun anlatir misin,YARDIM,KitapPusula-V6,eğitim
yerel veri tabanında kaç kayıt tutuluyor söyler misin,yerel veri tabaninda kac kayit tutuluyor soyler misin,KITAP_SAYISI,KitapPusula-V6,eğitim
hemen spor müsabakasının skorunu söyle,hemen spor musabakasinin skorunu soyle,ALAN_DISI,KitapPusula-Final-özel,eğitim
senden ne isteyebilirim lütfen,senden ne isteyebilirim lutfen,BOT_YETENEK,KitapPusula-Final-özel,eğitim
bu romanda baş karakter kimdir hatırlatır mısın,bu romanda bas karakter kimdir hatirlatir misin,KARAKTER_SORUSU,KitapPusula-V6,eğitim
söyler misin konumun neresi şu anda,soyler misin konumun neresi su anda,BOT_KONUM,KitapPusula-Final-özel,eğitim
merak ettim bir adresin var mı lütfen,merak ettim bir adresin var mi lutfen,BOT_KONUM,KitapPusula-Final-özel,eğitim
kıyma ve kabak kullanan bir tarif bul,kiyma ve kabak kullanan bir tarif bul,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
bana bir espri patlat lütfen,bana bir espri patlat lutfen,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
Feride kim,feride kim,KARAKTER_SORUSU,KitapPusula-V6,eğitim
ne haber söyler misin,ne haber soyler misin,NASILSIN,KitapPusula-V6,eğitim
yardımın için yardımın işime yaradı KitapPusula,yardimin icin yardimin isime yaradi kitappusula,TESEKKUR,KitapPusula-Final-özel,eğitim
iyi akşamlar KitapPusula,iyi aksamlar kitappusula,SELAMLAMA,KitapPusula-V6,eğitim
tamam sohbeti bitirelim sonra,tamam sohbeti bitirelim sonra,VEDA,KitapPusula-Final-özel,eğitim
nerede bulunuyorsun lütfen,nerede bulunuyorsun lutfen,BOT_KONUM,KitapPusula-Final-özel,eğitim
yorumuna göre kitap hakkında ne düşünüyorsun,yorumuna gore kitap hakkinda ne dusunuyorsun,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
bu sistem her kitabı bulabiliyor musun gerçekten,bu sistem her kitabi bulabiliyor musun gercekten,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
işler nasıl bakalım,isler nasil bakalim,NASILSIN,KitapPusula-V6,eğitim
bu gece pencereyi açık bırakmam gerekir mi,bu gece pencereyi acik birakmam gerekir mi,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
merak ettim hangi haberler konuşuluyor lütfen,merak ettim hangi haberler konusuluyor lutfen,HABER_SORUSU,KitapPusula-Final-özel,eğitim
sistemde kitap sayısı kaç,sistemde kitap sayisi kac,KITAP_SAYISI,KitapPusula-V6,eğitim
bu eser içeriğinden bahset anlatır mısın,bu eser iceriginden bahset anlatir misin,OZET_SORUSU,KitapPusula-V6,eğitim
bu kitabın yazan kişi kim söyler misin,bu kitabin yazan kisi kim soyler misin,YAZAR_SORUSU,KitapPusula-V6,eğitim
iyi günler sana da,iyi gunler sana da,SELAMLAMA,KitapPusula-V6,eğitim
çok çok sağ ol,cok cok sag ol,TESEKKUR,KitapPusula-Final-özel,eğitim
yeni kitap sınıflandır lütfen,yeni kitap siniflandir lutfen,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
söyler misin fiziksel olarak neredesin şu anda,soyler misin fiziksel olarak neredesin su anda,BOT_KONUM,KitapPusula-Final-özel,eğitim
romanda kahraman neden yola çıkıyor,romanda kahraman neden yola cikiyor,OLAY_SORUSU,KitapPusula-V6,eğitim
o zaman kendine iyi bak,o zaman kendine iyi bak,VEDA,KitapPusula-Final-özel,eğitim
bu kitabın yazarının adı ne hatırlatır mısın,bu kitabin yazarinin adi ne hatirlatir misin,YAZAR_SORUSU,KitapPusula-V6,eğitim
iyi geceler KitapPusula,iyi geceler kitappusula,SELAMLAMA,KitapPusula-V6,eğitim
romanda bu olayın sebebi ne kısaca söyler misin,romanda bu olayin sebebi ne kisaca soyler misin,OLAY_SORUSU,KitapPusula-V6,eğitim
artık hoşça kal,artik hosca kal,VEDA,KitapPusula-Final-özel,eğitim
toplam kaç eser bulunuyor,toplam kac eser bulunuyor,KITAP_SAYISI,KitapPusula-V6,eğitim
peynirli makarna içinde hangi malzemeler vardır,peynirli makarna icinde hangi malzemeler vardir,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
sence verilmek istenen mesaj ne olabilir,sence verilmek istenen mesaj ne olabilir,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
bugün beş mart mı değil mi,bugun bes mart mi degil mi,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
sen nasılsın,sen nasilsin,NASILSIN,KitapPusula-V6,eğitim
en önemli haberler,en onemli haberler,HABER_SORUSU,MASSIVE-tr-TR,eğitim
bugün nasılsın söyler misin,bugun nasilsin soyler misin,NASILSIN,KitapPusula-V6,eğitim
bu kitap hangi kategoride hatırlatır mısın,bu kitap hangi kategoride hatirlatir misin,TUR_SORUSU,KitapPusula-V6,eğitim
makarna sosunun tarifi nedir,makarna sosunun tarifi nedir,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
söyler misin hangi soruları anlayabilirsin anlatır mısın,soyler misin hangi sorulari anlayabilirsin anlatir misin,BOT_YETENEK,KitapPusula-Final-özel,eğitim
bu kitap hakkında detaylandır,bu kitap hakkinda detaylandir,DETAY_SORUSU,KitapPusula-V6,eğitim
söyler misin kendini tanıt,soyler misin kendini tanit,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
kitap sayısı kaç,kitap sayisi kac,KITAP_SAYISI,KitapPusula-V6,eğitim
bu kitap ne kadar uzun söyler misin,bu kitap ne kadar uzun soyler misin,SAYFA_SORUSU,KitapPusula-V6,eğitim
bu kitap kısa özetini ver,bu kitap kisa ozetini ver,OZET_SORUSU,KitapPusula-V6,eğitim
şu anda nerelisin şu anda,su anda nerelisin su anda,BOT_KONUM,KitapPusula-Final-özel,eğitim
romanda ana olay nedir,romanda ana olay nedir,OLAY_SORUSU,KitapPusula-V6,eğitim
kitap modeli için model bilgilerini göster,kitap modeli icin model bilgilerini goster,MODEL_BILGISI,KitapPusula-V6,eğitim
lezzetlidir,lezzetlidir,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
yerel veri tabanında toplam kaç eser bulunuyor,yerel veri tabaninda toplam kac eser bulunuyor,KITAP_SAYISI,KitapPusula-V6,eğitim
edebî kategorileri göster,edeb kategorileri goster,KATEGORI_LISTESI,KitapPusula-V6,eğitim
hangi kitaptan söz ettik hatırlatır mısın,hangi kitaptan soz ettik hatirlatir misin,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
örnek kod oluştur,ornek kod olustur,ALAN_DISI,KitapPusula-Final-özel,eğitim
şu anda ne zaman doğdun şu anda,su anda ne zaman dogdun su anda,BOT_YAS,KitapPusula-Final-özel,eğitim
az önceki kitap için detaylandır,az onceki kitap icin detaylandir,DETAY_SORUSU,KitapPusula-V6,eğitim
merhabalar bugün de,merhabalar bugun de,SELAMLAMA,KitapPusula-V6,eğitim
KitapPusula her kitabı bulabiliyor musun,kitappusula her kitabi bulabiliyor musun,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
niyet modeli için model nasıl çalışıyor,niyet modeli icin model nasil calisiyor,MODEL_BILGISI,KitapPusula-V6,eğitim
model hangi sınıflar var,model hangi siniflar var,KATEGORI_LISTESI,KitapPusula-V6,eğitim
şu anda bir adresin var mı lütfen,su anda bir adresin var mi lutfen,BOT_KONUM,KitapPusula-Final-özel,eğitim
acaba yaşın kaç lütfen,acaba yasin kac lutfen,BOT_YAS,KitapPusula-Final-özel,eğitim
KitapPusula ile yeni kitap sınıflandır lütfen,kitappusula ile yeni kitap siniflandir lutfen,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
verdiğin cevap için yardımın işime yaradı KitapPusula,verdigin cevap icin yardimin isime yaradi kitappusula,TESEKKUR,KitapPusula-Final-özel,eğitim
merak ettim sen nesin bana,merak ettim sen nesin bana,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
modelle yeni tahmin yap lütfen,modelle yeni tahmin yap lutfen,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
bazen sohbetimiz güzel gidiyor şimdi,bazen sohbetimiz guzel gidiyor simdi,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
hangi türleri biliyor,hangi turleri biliyor,KATEGORI_LISTESI,KitapPusula-V6,eğitim
hangi algoritma kullanıldı ayrıntılı anlat,hangi algoritma kullanildi ayrintili anlat,MODEL_BILGISI,KitapPusula-V6,eğitim
son bölümde ne oluyor,son bolumde ne oluyor,OLAY_SORUSU,KitapPusula-V6,eğitim
nasıl kullanılır lütfen,nasil kullanilir lutfen,YARDIM,KitapPusula-V6,eğitim
ayın on beşi hangi gün,ayin on besi hangi gun,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
sistemde kitap sayısı kaç söyler misin,sistemde kitap sayisi kac soyler misin,KITAP_SAYISI,KitapPusula-V6,eğitim
KitapPusula veri setinde olmayan kitabı bulabilir mi gerçekten,kitappusula veri setinde olmayan kitabi bulabilir mi gercekten,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
az önceki kitap hikâyesi ne,az onceki kitap hik yesi ne,OZET_SORUSU,KitapPusula-V6,eğitim
tatlı çaya ne kadar şeker atılır,tatli caya ne kadar seker atilir,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
bir web sitesi tasarla istiyorum,bir web sitesi tasarla istiyorum,ALAN_DISI,KitapPusula-Final-özel,eğitim
ne yapabilirsin,ne yapabilirsin,BOT_YETENEK,KitapPusula-Final-özel,eğitim
bu kitabın kimin eseri,bu kitabin kimin eseri,YAZAR_SORUSU,KitapPusula-V6,eğitim
bu kitap kaç sayfalık hatırlatır mısın,bu kitap kac sayfalik hatirlatir misin,SAYFA_SORUSU,KitapPusula-V6,eğitim
iyi günler,iyi gunler,SELAMLAMA,KitapPusula-V6,eğitim
bu kitapta hangi maceralar yaşanıyor anlatır mısın,bu kitapta hangi maceralar yasaniyor anlatir misin,OLAY_SORUSU,KitapPusula-V6,eğitim
desteklenen kategoriler neler,desteklenen kategoriler neler,KATEGORI_LISTESI,KitapPusula-V6,eğitim
şu anda genç misin,su anda genc misin,BOT_YAS,KitapPusula-Final-özel,eğitim
doğrudan yaratıcın kim lütfen,dogrudan yaraticin kim lutfen,BOT_YARATICI,KitapPusula-Final-özel,eğitim
bu kitap okuması uzun sürer mi hatırlatır mısın,bu kitap okumasi uzun surer mi hatirlatir misin,SAYFA_SORUSU,KitapPusula-V6,eğitim
şu anki hava nasıl,su anki hava nasil,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
romanda hikâye nasıl bitiyor,romanda hik ye nasil bitiyor,OLAY_SORUSU,KitapPusula-V6,eğitim
az önceki kitap kaç sayfa söyler misin,az onceki kitap kac sayfa soyler misin,SAYFA_SORUSU,KitapPusula-V6,eğitim
sen her kitabı bulabiliyor musun şu anda,sen her kitabi bulabiliyor musun su anda,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
bu eser hangi türe ait söyler misin,bu eser hangi ture ait soyler misin,TUR_SORUSU,KitapPusula-V6,eğitim
bu eser türü ne söyler misin,bu eser turu ne soyler misin,TUR_SORUSU,KitapPusula-V6,eğitim
detayları yeniden göster,detaylari yeniden goster,TEKRAR_GOSTER,KitapPusula-V6,eğitim
gerçekten teşekkür ederim,gercekten tesekkur ederim,TESEKKUR,KitapPusula-Final-özel,eğitim
kitap modeli için macro f1 kaç ayrıntılı anlat,kitap modeli icin macro f1 kac ayrintili anlat,MODEL_BILGISI,KitapPusula-V6,eğitim
yağmur yağıyor,yagmur yagiyor,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
İngilizce metni çevir,ingilizce metni cevir,ALAN_DISI,KitapPusula-Final-özel,eğitim
