Kitap Adı,Kitap Açıklaması,Kategori
"Romantik Hareket Seks, Alışveriş ve Roman","Aşk, seyahat, mimari, felsefe ve edebiyat üzerine kitaplarıyla tüm dünyada geniş bir okur kitlesi tarafından sevilen Alain de Botton’un odağında bu kez modern zaman ilişkileri ve âşıkların psikolojisi var. Romantik bir ilişkiyi tanışma anından ayrılığa dek inceliyor, “aşk” dediğimiz şeyi didik didik ediyor. Seks, alışveriş ve roman arasındaki bağlantıları sorguluyor, ilişki içi güç dengelerini tartışıyor. Bu tartışmalarda örnek teşkil etmesi için ele aldığı modern çift ise yeni bir ilişki peşinde koşmaktan sıkılmış, geçmiş ilişkisinden ağzı yanmış genç reklamcı Alice ve bir anda karşısına çıka",Deneme
Hayata Bırakılan İzler,"Hayatın anlam serüvenine rehberlik, bazen arkadaşlık yapacak fikir ve tecrübeleri ile yazar denemelerini önümüze sunuyor. Dünya alemi, kader, adalet, aşk, kibir, vicdan, savaş, ölüm, ve insanlığın nereye gittiğine dair kendimizi sorgulamaya ve düşünmeye, tecrübeler yön gösteriyor. Hayatı toz pembe olarak değil, iyisi ve kötüsüyle, tüm engellere rağmen zorluklara göğüs gererek hakikati aramamıza yardımcı olabilmeyi amaçlayan bir eser. Her kitap hayat yolunda bir basamaktır. Bu eser hayatınızı kolaylaştırırsa ne mutlu bana. M. Necati Kayhan",Deneme
Mihrap,"Mihrap, klasik anlam ve muhtevasından başka benim için doğru olandı. İnsanı haktan gelen mutluluğa ulaştıran ve onun kutlu yolunun yoldaşı olmak için ruhta ihtiyaç duyulan aşktı. Mihrap; benim için hakikatin dünyaya yansıyan rengi, sevilecek olan sevgilinin adıydı.",Deneme
Pinana,"PiNana sert gerçekliğin içinde yeşeren bir kadın masalı… Dünya bildiğimiz dünya. Erkek, acımasız ve yalan. Masalsa bir Ege koyunda, birbiriyle kan bağı olan olmayan bir grup kadının buluşmasıyla kuruluyor. Hayatın masala değebildiği bu romanda birbirine sırtını dayayan kadınlar süpürüyor acı gerçeği, yerine yeni bir hakikat koyuyorlar. Birilerinin dört kolla gizlemeye çalıştığı hakikat bir bakış, bir gülüş kadar yakın olduğunu fısıldıyor. Pina ile Nana’nın, torunla ninenin ilişkisinden doğan, dilleriyle konuşan bu masalda dünya erkekliği kusuyor.PiNana Ayşe Başak Kaban’ın ikinci romanı. Kaban,",Roman
Ezelden Ebede,"Söz uçar, yazı kalır. Yaşanılanlar ve anlatılanlar yazılı hale gelmedikçe bir gün unutulur. Bu nedenle, yaşadıklarımı, bizatihi gördüklerimi ve hissettiklerimi, o günkü şartlarda insanların yaşantısını dilimin döndüğü kadarı ile bu kitap ile gelecek nesillere aktarmaya çalıştım. Hayatımın bidayetinden, geldiğim bu son noktaya yaklaşırken geriye dönüp bakınca çok yol aldığımı, çok mesafe kat ettiğimi, bir fidandan bir ormana ulaşarak dolu dolu bir hayat yaşadığımı görürsünüz. Umarım genç kuşaklara bir nebze de olsa örnek olur, onları düşünmeye zorlar, acabaları, keşkeleri belki daha aza indirir",Deneme
Yunus Emre,"Asırlardır ilahileriyle gönül kubbemimizi çınlatan Yunus Emre, anadolu'yu İslamlaştıran manevi güneşlerden allah aşkıyla yumuşamış, erimiş, melekleşmişolan Yunus, İslam ahlakının bütün esaslarını yaşamış ve söylemiş, asla benlik ve bencillik tuzağına düşmemiş bir gönül sultanı. Kibirlenmemeyi ve toprak gibi mütevazi olmayı önce kendine öğütlemiş, nefsini yerden yere vurmuş, adeta Allah aşkıyla erimiş, yok olmuş. Ezel ve Ebed Sultanının muhabbetiyle kendinden geçmiş, sadece dünyayı değil, Cenneti bile istememiş ve ""Bana Seni Gerek Seni"" diye inlemiş. Ne yazık ki, doğru anlatılamamış, doğru anla",Biyografi-Otobiyografi
Şehit İsmail Haniye - Hayatı ve Mücadelesi,"Vallahi İsrail'i tanımayacağız... İsrail'i tanımayacağız. Kaleler yıkılmayacak, surlar aşılmayacak ve Allah'ın izniyle hiç kimse bizim duruşumuzu değiştiremeyecek. Filistin halkı teslim olmayacak. Direniş de haklarımızı bu suçlu düşmana karşı savunmaya devam edecektir.Siyonist oluşum, parçalanma ve çöküş sürecine girmiştir. Bu süreç, nihai olarak yok oluşuna kadar devam edecektir.",Biyografi-Otobiyografi
Bir Ömür Yetmez,"“Aramızda korkunç bir uçurum, bir 42 yıl var, neredeyse senin yaşının iki katı. Ama biz bu uçurumun üstünde uçmayı zaten öğrenmedik mi? Kısacası bu lafı hiç söylemedim. Söylemeyi aklımdan bile geçirmedim. İlk kez sana isteye isteye, zorla değil, söylüyorum... Senden çocuklarım olsun istiyorum. Seninle evlenmek istiyorum. İster misin sen de?” Denizle, doğayla iç içe yaşayan Yaman Koray, yatta çalışacak bir yardımcı aramaktadır. Gazeteye bir ilan verir. İş görüşmesine gelenlerden biri de Sultan Hanım’dır. İkisi de görür görmez birbirlerinden etkilenirler. Ne var ki duygularını açmak öyle kolay d",Anı
Kim Ucuz Bir Gergedan Almak İster,"Daha önce yayımladığımız “CÖMERT AĞAÇ” isimli kitabıyla büyük beğeni toplayan Shel Silverstein’in bu kitabını da okurken duygularınızın ağır basacağını ve büyük bir ilgiyle okuyacağınızı düşünüyoruz.Ana teması doğaya saygı, hayvan sevgisi, insan hayvan ilişkisi olan “KİM UCUZ BİR GERGEDAN ALMAK İSTER”, şiirimsi bir dille; alınıp satılan, bir eşya muamelesi gören, evin çocuğu için bir oyuncaktan farkı olmayan ev hayvanlarının durumunu gözler önüne sermekte. KİM UCUZ BİR GERGEDAN ALMAK İSTER’i diğer bütün kitaplardan ayıran, en başta bu özelliğidir. Yazar Özgeçmişi Kısaca Shel Silverstein (1930-",Hikâye
Yaprak Misali,"Senem Derya Tatar’ın “Yaprak Misali” adını verdiği kitabı yayımlandı. Kendisinin “Katibini bilmeye niyetli bir kitap” olarak yorumladığı ve büyük ilgi göreceğini düşündüğümüz kitabın sayfalarında yaklaşık 130 şiir yer alıyor. Senem Derya Tatar, kitaba adını verdiği “Yaprak Misali” şiirinde bir anlamda kitabı da özetliyor: “Tüm gidenlere inat, terk edilmiş bu dünyada kalmak isterim bir yaprak olarak. Sen seç yaprağı ey kadim ak pak! Ey nurdan toprak, beni var eden Hak! İster bir zeytin dalında ufacık, ister bir kitap örtüsünde sıcacık. Var olmak istediğim apaçık.” KAPAK RESMİNDE BETÜL TATAR İMZ",Şiir
Gökbörü Kapgan Kağan,"Göktürk Devleti’nin kurucusu İlteriş Kutluk Kağan’ın 691 yılında ani ölümü üzerine oğulları Bilge Tigin ve Kül Tigin küçük olduklarından dolayı, töre gereği yerine kardeşi Kapgan, yirmi yedi yaşında kağan oldu. Ağabeyi Kutluk Kağan ile beraber yetmiş kişiyle başlattıkları isyan hareketi sonucunda Göktürk Devleti’ni kurmayı başarmışlardı.Kapgan Kağan, bütün Türkleri bir araya toplayan kağandır. Yirmi dört yıl süren kağanlığı boyunca, Çin üzerine en çok akın yapan, en çok zafer kazanan ve Çin’in en çok korktuğu kağan olmuştu.“Tanrıdan Kut almış ağabeyim Kutluk Kağan, yetmiş arkadaşımızla yola çı",Roman
Dimitrios’un Maskesi,"Kötücül zekâyı anlamanın peşinde İzmir’in kurtuluşu sırasında çıkan yangının küllerinden efsanevi bir kanun kaçağı doğar: Dimitrios. Daha sonra Mustafa Kemal Paşa’ya karşı planlanan suikast girişimine de adı karışan Dimitrios, İstanbul’da bulunan İngiliz polisiye yazarı Charles Latimer’in ilgisini çeker. Bu yeraltı figürünün hayatıyla ilgili ayrıntıların peşine düşen Latimer kendini çok geçmeden bütün Balkanlar’ı içine alan bir suikast, casusluk ve ihanet ağının ortasında bulacaktır. Çağdaş gerilim ve casusluk romanlarının öncüsü kabul edilen Eric Ambler, tekinsiz komploların içine düşen sırad",Polisiye
Yolumun Kesiştiği Ünlüler,"Prof. Dr. Erol Manisalı akademik çalışmaları sırasında ve yazarlık yaşamı boyunca tanıştığı yerli-yabancı ünlü simalarla ilgili anılarını paylaşıyor. Siyasetçiler, sanatçılar, bilim insanları, işadamları, Manisalı’nın gözlem gücünün süzgecinden geçerek, Türkiye’nin yakın tarihinde bıraktıkları izlerle yer alıyorlar Yolumun Kesiştiği Ünlüler’de.Bülent Ecevit’ten Kirk Douglas’a, Süleyman Demirel’den Vehbi Koç ve Sakıp Sabancı’ya, Turgut Özal’dan Attila İlhan’a, Mümtaz Soysal’dan İlhan Selçuk’a, General Franco’dan Zekeriya Öz’e açılan yelpazede pek çok ismin adeta resmi geçit yaptığı elinizdeki k",Anı
Klein ve Wagner,"Saygın bir memur, sadık bir koca ve aile babası olan Friedrich Klein, kendini birdenbire hayali bir cinayetle suçun yükü altında bulur: Karısı ile üç çocuğunun ölümü, sahte pasaport, bir tabanca, çantasına istiflenmiş para ve gösterişsiz saygınlığı. Kırklı yaşlarını süren Klein, her şeye en baştan başlamak, yeni, genç bir adam olabilmek için gücünü toplar, izini kaybettirip Alpler’in güneyinde gözlerini açar. Hermann Hesse uzun yıllar devam ettiği psikoterapiye 1916’nın ilk aylarında C. G. Jung’un asistanı J. B. Lang ile başlar. C. G. Jung ile de ilk kez 1917 sonbaharında tanışır. 1919 yazında",Roman
Taçlandıran Hastalık,"Hayat denilen bu filmde herkesi farklı sahneler bekler. Kimileri için yorucudur kimileri içinse rahat. Nihayetinde biteceği için aklı başında olan yorgunluğuna değil de sahnedeki rolüne bakıp, bulunduğu anın tadını çıkarmaya çalışır. Ömür de böyledir işte, yorucu olur bazen, ama en etkileyici güzellikler de o zaman baş gösterir. Yaşamın içerisinde her ne konumda olursak olalım azim ve kararlılıkla gelen başarı her zaman adımızdan söz ettirecektir.Herkesin gücü nispetinde yapabileceği bir şeyler vardır. Önemli olan onu belirleyip hemen işe koyulmaktır. Çünkü; “Yarıncılar -erteleyenler- helak ol",Anı
Ölümü Ellerinde Tutarken,"HAYAT SAĞLAMDI. İNATÇIYDI. ÖLÜM FARKLIYDI. HASSASTI, BİR GİZEMDİ. AMA NEYDİ ÖLÜM? NEDEN BİRİNİN ÖLMESİ GEREKİYORDU? Köpeğiyle birlikte günlük yürüyüşlerinden birine çıkan yetmiş iki yaşındaki Vesta, ormanda esrarengiz bir not bulur: “Adı Magda’ydı. Onu kimin öldürdüğünü asla kimse bilmeyecek. Ben öldürmedim. İşte onun cesedi.” Yaşadığı bölgeye kocasının ölümünden sonra taşınan ve pek de tanıdığı olmayan Vesta, önce bu notla ne yapacağını bilemez ve ardından da notta bahsedilen Magda’yı bir saplantı hâline getirir. Yavaş yavaş aralanan sis perdesi tehditkâr bir şekil almaya başlar. Vesta gizemi",Polisiye
Sırlarım İpte Asılı Kaldı Balım,"Kasım, 1966’nın son günleri. Dolmabahçe’ye Shangri-La adın-da bir uçak gemisi demirlemiş, İstanbul Üniversitesi Hukuk Fakültesinden birkaç öğrenci bu gemiye davet edilmişti. Onları karşılayan bir subay tüm soğukluğu ve kibriyle savaş gemilerini güç gösterisine dönüştürecekti. Bu geminin çetrefilli zamanla-rın habercisi olduğu henüz bilinmiyordu. Öyle ki geziye katılan öğrencilerden biri sonrasında başlayan 6. Filo eylemlerinin merkezinde bulacaktı kendisini. Bu eylemler birçok şeye gebeydi. Üniversite gençliği de değişip dönüşecekti zaman içerisinde. Öğrenci haklarına dayalı başlayan hareketle",Anı
Zihin Gözü / Müfettiş Van Veeteren 1,"Janek Mitter bir sabah akşamdan kalma uyanmış ve karısını küvette ölü bulmuştur. Ne olduğunu hatırlamamaktadır. Mahkemeye çıkar, suçlu bulunur ve bir ruh sağlığı hastanesine gönderilir. Ancak kısa bir süre sonra Mitter de hastanedeki yatağında ölü bulunur.Van Veeteren en başından ipuçlarını takip etmediği için pişmanlık duyar ve iki cinayet üzerinde titizlikle çalışmaya başlar. Soruşturmayı derinleştirdikçe bu cinayetlerin çarpık kökenleri onu bile şok edecektir.Müfettiş Van Veeteren’i tanımamızı sağlayan serinin ilk roman Zihin Gözü artık Dedalus’ta…Yalın, sarsıcı ve varoluşsal belirsizlik do",Polisiye
Büyülü Sofra,"“Önce tencerelerin karnı acıkır burada. İnsanlar susamadan sürahiler yanar susuzluktan. Tavalar sır döker tabaklara. Şişeler bardakları tutkuyla öperken kepçelerden kaşıklara arzu akar. Ekmeğin zevkini ilk sepetler çıkarır, yemeğinse çatal bıçaklar. Her gün düğün dernektir. Ne fırın yitirir hararetini, ne ocağın ateşi söner. Mutfak aşkla döndüğünden Sofra’nın tadına doyulmaz.” Burası Büyülü Sofra’ydı işte…Zekânın kuyusuna düşen Kleopatra, sureti haktan görünüp Allah’a cihad açan Yezid, iyileşme arzusundaki Gevher Sultan, dünyevi güce boyun eğen Ebussuud Efendi, nefsine zulmeden Drakula, gençli",Roman
Bir Kentin Senfonisi,"Ne güzeldir beklemeUmudu, sevgiliyi, zaferiYa da ne bileyim boşa beklemeTire’de bir yer var BeklemeAnneyi mi, babayı mı?Yoksa Kuvayı Milliyecileri mi?Mustafa Kemal’in askerlerini mi?Tire’de bir yer var adı BeklemeYak bir sigara dönSevgiliyi beklemeNe güzeldir bekleme",Şiir
Tanrıların ve Canavarların Gündelik Yaşamı,"On altı yaşındaki Ariadne’nin hayatı, tüm dünyanın gözleri önünde sergilenmekteydi. Ailesinin eğlence sektörünü yönlendiren imparatorluğu magazin basını tarafından çok seviliyor, yaptıkları her program sosyal medyanın en çok konuşulan konularından biri hâline geliyor ve izleyenleri televizyon ekranlarına kilitliyordu. En çok ilgi göreni ise on dört gencin kardeşi Minotauros’u öldürmeleri için Ariadne’nin eşliğinde bir labirente girdiği Labirent Karşılaşmaları’ydı. Kazanmak sonsuz bir zafer, kaybetmek ise ölüm demekti ve on sezondur hiç kimse kazanamamıştı. Yakışıklı Atina Prensi Theseus yarışm",Bilimkurgu-Fantazya
İçindedir Ateşin,"Mehmet Dağınık’ın şiirleri hüzün, sevinç, keder, kıskançlık, ümitsizlik, özlem, ölüm ve özellikle aşk gibi duyguları yansıtmakta oldukça zengindir. Onun ifade biçimi başlı başına lirizmdir. Şiirleri saf şiir anlayışında, girift ve kapalı bir yapıdan uzaktır. Ruhun derin sarsıntılarını bile oldukça açık bir duyuşla anlatmaktadır.Kıskanırım söylemeye güzelliğini seninKorkarım kimse seni, benim gibi sevmesin Şiirlerindeki sevgili genellikle “Leyla” dır ve Divan şiirine yakın bir “sevgili” anlayışından da bahsedilebilir. Bu bağlamda da sevgili ve âşık arasındaki ilişkide coşkuyu artırmak için Leyl",Şiir
Conan: Ejderhanın Saati,"Kısacık ömrüne yüzlerce öykü ile kocaman dünyalar sığdıran Robert E. Howard, fantastik edebiyatın ilk devlerinden biriydi. J.R.R. Tolkien’le birlikte 20. yüzyıl fantastik edebiyatına yön veren başlıca isimlerden olan Howard, kılıç ve büyü adı verilen bir alt türün doğmasına da önayak oldu. H.P. Lovecraft, Clark Ashton Smith gibi döneminin önde gelen korku yazarlarıyla olan dostluğu, Howard’ı hem Cthulhu Mitosu’na dahil edilecek öyküler yazacak hem de kendi fantastik öykülerini korku öğeleriyle süsleyecek kadar etkiledi. Robert E. Howard’ın yazdığı tek Conan romanı olan Ejderha’nın Saati’nde Co",Bilimkurgu-Fantazya
"Joburg, Benim","Joburg, Benim, okuru bilincin ve zamanın labirentlerinde gezintiye çıkaran modernist tarzın en çarpıcı öykülerini bir araya getiriyor…Ahmet Sait Akçay, her kitabında farklı bir öykü anlayışıyla yazmayı ‘göze alabilmiş’ bir yazar. Tamamı Afrika’da geçen öyküleriyle, şahsi coğrafyasının sınırlarını genişletirken, dilin imkânlarını da zorluyor. Yazılarında postmodernizmi olumlayan Akçay’ın içindeki ‘gizli’ modernist; Joburg, Benim’i zenginleştiren, beklenmedik bir unsur.Afrika’yı, Batı’nın klişe bakış açısıyla okumayı reddeden Akçay’ın öykülerinde karakterler kadar mekân seçimleri de, okuru Türk",Hikâye
Tek Oda Yalnızlık,Tek gidişlik bir bilet olmalı sol yanına tam da can kenarından.Sonra sevgi denen kutsalı incitmeden okşamalı duygu yüklü dokunuşlar yüreğini.Dokunmalıyım kirletmeden incitmeden benliğini.Bu mevsimde insanın sığınacağı bir can kenarı olmalı. Uzadıkça uzayan bütün yalnızlıklara inat can kenarında soluklanmalı insan.Gamın hükümsüz olduğu tek yerdir sevdiğinin sol yanı. Başını koyunca omuz denen dünyaya unutursun bütün hüzünleri.,Deneme
Gizemli Arazi,"Yusuf Başkomiser ve ailesi yıllık izinde köylerine giderler.Ancak köy halkı uzunca bir süredir gece karanlık çöktüğünde köye yayılan uğultu seslerinden oldukça ürkmektedirler. Üstelik esrarengiz olaylar bununla da kalmayıp, mezarlığın yanında bulunan araziye giren ortadan kaybolmakta, sesler de bu araziden gelmektedir…Kerem ve arkadaşları bu arazinin kıyısında vakit geçirirken, Elif topunu araziye doğru atar.Kerem araziye topu almaya gittiğinde o da aniden ortadan kaybolur.Yusuf Başkomiser başta olmak üzere tüm köylü Kerem’i aramak için yola düşerler…Tuzakların Gölgesinde isimli kitabın devamı",Polisiye
Rides A Dread Legion,"The first book in a brand new series by the master of epic fantasy, Raymond E. Feist. Ten years after the cataclysmic events of Wrath of a Mad God took place, Midkemia now faces a new danger thought buried in myth and antiquity.A lost race of elves, the taredhel or ‘people of the stars’, have found a way across the universe to reach Midkemia. On their current home world, these elves are hard pressed by a ravaging demon horde, and what was once a huge empire has been reduced to a handful of survivors. The cornerstone of taredhel lore is the tale of their lost origins in the world they call simp",Bilimkurgu-Fantazya
Nasıl Dahi Oldum? - Dünyayı Şekillendiren Dahiler,"TARİHE İSMİNİ ALTIN HARFLERLE YAZDIRMIŞ ÖNEMLİ SANAT VE BİLİM İNSANLARININ ÇOCUKLARINA BÜYÜLÜ BİR YOLCULUK! İnsanlık tarihinin en büyük başarılarından biri, Neil Armstrong’un Ay’a attığı ilk adımda saklı. “İnsan için küçük, insanlık için dev bir adım” sözüyle hafızalara kazınan bu cesur astronotun yolculuğu nasıl başladı? Armstrong’un uzaya olan tutkusunu körükleyen çocukluk anılarından, Apollo 11 görevi ile Ay’a ayak basmasına kadar geçen bu heyecan dolu serüvende neler yaşandı? Uzayın bilinmeyenlerine olan merakı ve bilime olan bağlılığıyla Armstrong’un izinden gidin; onun keşif dolu dünyası",Biyografi-Otobiyografi
