Metin,Normal Metin,Niyet,Tahmin,Doğru
hafızana göre hangi yapıtı açmıştık,hafizana gore hangi yapiti acmistik,KITAP_ADI_SORUSU,TARIH_SAAT_SORUSU,False
önceki konuşmamızda hangi yapıtı açmıştık,onceki konusmamizda hangi yapiti acmistik,KITAP_ADI_SORUSU,TUR_SORUSU,False
hafızana göre hangi yapıtı açmıştık lütfen,hafizana gore hangi yapiti acmistik lutfen,KITAP_ADI_SORUSU,TARIH_SAAT_SORUSU,False
hafızana göre son seçimin adını söyle,hafizana gore son secimin adini soyle,KITAP_ADI_SORUSU,HABER_SORUSU,False
hafızana göre hangi başlık üzerinde duruyoruz lütfen,hafizana gore hangi baslik uzerinde duruyoruz lutfen,KITAP_ADI_SORUSU,SERBEST_KITAP_SORUSU,False
hafızana göre aktif eserin ismi nedir lütfen,hafizana gore aktif eserin ismi nedir lutfen,KITAP_ADI_SORUSU,BOT_KIMLIK,False
hafızana göre son seçimin adını söyle lütfen,hafizana gore son secimin adini soyle lutfen,KITAP_ADI_SORUSU,SAKA_ISTEGI,False
hafızana göre hangi başlık üzerinde duruyoruz,hafizana gore hangi baslik uzerinde duruyoruz,KITAP_ADI_SORUSU,SERBEST_KITAP_SORUSU,False
hafızana göre aktif eserin ismi nedir,hafizana gore aktif eserin ismi nedir,KITAP_ADI_SORUSU,SERBEST_KITAP_SORUSU,False
önceki konuşmamızda son seçimin adını söyle,onceki konusmamizda son secimin adini soyle,KITAP_ADI_SORUSU,HABER_SORUSU,False
Felatun Bey ile Rakım Efendi,felatun bey ile rakim efendi,KITAP_ARAMA,YENI_KITAP_SINIFLANDIR,False
katalogda kayıt hacmi nedir,katalogda kayit hacmi nedir,KITAP_SAYISI,SAYFA_SORUSU,False
katalogda kayıt hacmi nedir şu an,katalogda kayit hacmi nedir su an,KITAP_SAYISI,HAVA_SORUSU,False
değerlendirme raporunda test performansı kaç lütfen,degerlendirme raporunda test performansi kac lutfen,MODEL_BILGISI,BOT_YAS,False
değerlendirme raporunda hangi skor elde edildi lütfen,degerlendirme raporunda hangi skor elde edildi lutfen,MODEL_BILGISI,BOT_KONUM,False
değerlendirme raporunda test performansı kaç,degerlendirme raporunda test performansi kac,MODEL_BILGISI,KITAP_SAYISI,False
değerlendirme raporunda kullanılan yöntemi açıkla,degerlendirme raporunda kullanilan yontemi acikla,MODEL_BILGISI,KITAP_ARAMA,False
değerlendirme raporunda kullanılan yöntemi açıkla lütfen,degerlendirme raporunda kullanilan yontemi acikla lutfen,MODEL_BILGISI,YARDIM,False
değerlendirme raporunda hangi skor elde edildi,degerlendirme raporunda hangi skor elde edildi,MODEL_BILGISI,KITAP_ADI_SORUSU,False
bu akşam günün nasıl geçiyor,bu aksam gunun nasil geciyor,NASILSIN,HAVA_SORUSU,False
bu akşam keyfin yerinde mi,bu aksam keyfin yerinde mi,NASILSIN,HAVA_SORUSU,False
bu akşam durumun nasıl,bu aksam durumun nasil,NASILSIN,HAVA_SORUSU,False
bu akşam halin vaktin nasıl,bu aksam halin vaktin nasil,NASILSIN,HAVA_SORUSU,False
anlatının içinde çatışma nasıl ortaya çıkıyor,anlatinin icinde catisma nasil ortaya cikiyor,OLAY_SORUSU,YEMEK_TARIFI_SORUSU,False
anlatının içinde yolculuğun nedeni nedir,anlatinin icinde yolculugun nedeni nedir,OLAY_SORUSU,YEMEK_TARIFI_SORUSU,False
anlatının içinde gelişmeler hangi sırayla yaşanıyor özetler misin,anlatinin icinde gelismeler hangi sirayla yasaniyor ozetler misin,OLAY_SORUSU,HABER_SORUSU,False
anlatının içinde final hangi olayla tamamlanıyor özetler misin,anlatinin icinde final hangi olayla tamamlaniyor ozetler misin,OLAY_SORUSU,HABER_SORUSU,False
anlatının içinde yolculuğun nedeni nedir özetler misin,anlatinin icinde yolculugun nedeni nedir ozetler misin,OLAY_SORUSU,HABER_SORUSU,False
anlatının içinde çatışma nasıl ortaya çıkıyor özetler misin,anlatinin icinde catisma nasil ortaya cikiyor ozetler misin,OLAY_SORUSU,HABER_SORUSU,False
anlatının içinde gelişmeler hangi sırayla yaşanıyor,anlatinin icinde gelismeler hangi sirayla yasaniyor,OLAY_SORUSU,HABER_SORUSU,False
şu eser için genel olarak ne işleniyor,su eser icin genel olarak ne isleniyor,OZET_SORUSU,HABER_SORUSU,False
incelediğimiz kitapta genel olarak ne işleniyor,inceledigimiz kitapta genel olarak ne isleniyor,OZET_SORUSU,OLAY_SORUSU,False
incelediğimiz kitapta hikâyenin özünü anlat,inceledigimiz kitapta hik yenin ozunu anlat,OZET_SORUSU,OLAY_SORUSU,False
incelediğimiz kitapta temel konuyu iki cümlede açıkla,inceledigimiz kitapta temel konuyu iki cumlede acikla,OZET_SORUSU,KITAP_ARAMA,False
şu eser için temel konuyu iki cümlede açıkla lütfen,su eser icin temel konuyu iki cumlede acikla lutfen,OZET_SORUSU,DETAY_SORUSU,False
şu eser için temel konuyu iki cümlede açıkla,su eser icin temel konuyu iki cumlede acikla,OZET_SORUSU,DETAY_SORUSU,False
incelediğimiz kitapta kısa bir konu özeti çıkar,inceledigimiz kitapta kisa bir konu ozeti cikar,OZET_SORUSU,SAKA_ISTEGI,False
incelediğimiz kitapta ana içeriği nedir,inceledigimiz kitapta ana icerigi nedir,OZET_SORUSU,OLAY_SORUSU,False
incelediğimiz yapıt kısa bir kitap sayılır mı,inceledigimiz yapit kisa bir kitap sayilir mi,SAYFA_SORUSU,SAKA_ISTEGI,False
şu eser toplam kaç yapraklık,su eser toplam kac yapraklik,SAYFA_SORUSU,KITAP_SAYISI,False
incelediğimiz yapıt kaç sayfadan oluşuyor,inceledigimiz yapit kac sayfadan olusuyor,SAYFA_SORUSU,KITAP_SAYISI,False
incelediğimiz yapıt toplam kaç yapraklık,inceledigimiz yapit toplam kac yapraklik,SAYFA_SORUSU,KITAP_SAYISI,False
şu eser toplam kaç yapraklık merak ettim,su eser toplam kac yapraklik merak ettim,SAYFA_SORUSU,KITAP_SAYISI,False
esenlikler,esenlikler,SELAMLAMA,KITAP_ARAMA,False
bir değerlendirme olarak yazarın niyeti hakkında çıkarım yap,bir degerlendirme olarak yazarin niyeti hakkinda cikarim yap,SERBEST_KITAP_SORUSU,SAKA_ISTEGI,False
bugün çarşamba mı,bugun carsamba mi,TARIH_SAAT_SORUSU,HAVA_SORUSU,False
halen öğleden sonra mı,halen ogleden sonra mi,TARIH_SAAT_SORUSU,HAVA_SORUSU,False
bugün günlerden ne,bugun gunlerden ne,TARIH_SAAT_SORUSU,NASILSIN,False
incelediğimiz yapıt hangi edebiyat dalına girer,inceledigimiz yapit hangi edebiyat dalina girer,TUR_SORUSU,KITAP_ADI_SORUSU,False
şu eser tür bakımından nedir merak ettim,su eser tur bakimindan nedir merak ettim,TUR_SORUSU,BOT_KIMLIK,False
incelediğimiz yapıt hangi sınıfta yer alıyor,inceledigimiz yapit hangi sinifta yer aliyor,TUR_SORUSU,KITAP_ADI_SORUSU,False
incelediğimiz yapıt tür bakımından nedir,inceledigimiz yapit tur bakimindan nedir,TUR_SORUSU,YEMEK_TARIFI_SORUSU,False
şu eser hangi sınıfta yer alıyor merak ettim,su eser hangi sinifta yer aliyor merak ettim,TUR_SORUSU,BOT_KONUM,False
oturumu kapatalım,oturumu kapatalim,VEDA,KITAP_ARAMA,False
şimdi bugünlük yeter KitapPusula,simdi bugunluk yeter kitappusula,VEDA,GENEL_SOHBET,False
bugünlük yeter,bugunluk yeter,VEDA,KITAP_ARAMA,False
oturumu kapatalım KitapPusula,oturumu kapatalim kitappusula,VEDA,SELAMLAMA,False
o halde burada ayrılalım,o halde burada ayrilalim,VEDA,KITAP_ARAMA,False
ilk kez girince neler sorabileceğimi açıkla,ilk kez girince neler sorabilecegimi acikla,YARDIM,HABER_SORUSU,False
uygulamayı kullanırken neler sorabileceğimi açıkla,uygulamayi kullanirken neler sorabilecegimi acikla,YARDIM,BOT_YETENEK,False
uygulamayı kullanırken bana kısa bir rehber sun,uygulamayi kullanirken bana kisa bir rehber sun,YARDIM,SAKA_ISTEGI,False
ilk kez girince bana kısa bir rehber sun,ilk kez girince bana kisa bir rehber sun,YARDIM,SAKA_ISTEGI,False
uygulamayı kullanırken neler sorabileceğimi açıkla lütfen,uygulamayi kullanirken neler sorabilecegimi acikla lutfen,YARDIM,BOT_YETENEK,False
uygulamayı kullanırken bana kısa bir rehber sun lütfen,uygulamayi kullanirken bana kisa bir rehber sun lutfen,YARDIM,SAKA_ISTEGI,False
ilk kez girince hangi işlemler yapılabilir,ilk kez girince hangi islemler yapilabilir,YARDIM,YEMEK_TARIFI_SORUSU,False
uygulamayı kullanırken hangi işlemler yapılabilir,uygulamayi kullanirken hangi islemler yapilabilir,YARDIM,YEMEK_TARIFI_SORUSU,False
şu yapıtın eseri ortaya koyan kim öğrenebilir miyim,su yapitin eseri ortaya koyan kim ogrenebilir miyim,YAZAR_SORUSU,HAVA_SORUSU,False
incelediğimiz metnin kalem sahibi kim,inceledigimiz metnin kalem sahibi kim,YAZAR_SORUSU,BOT_YARATICI,False
şu yapıtın hangi edebiyatçı yazmış öğrenebilir miyim,su yapitin hangi edebiyatci yazmis ogrenebilir miyim,YAZAR_SORUSU,HAVA_SORUSU,False
şu yapıtın yaratıcısı hangi yazar öğrenebilir miyim,su yapitin yaraticisi hangi yazar ogrenebilir miyim,YAZAR_SORUSU,HAVA_SORUSU,False
incelediğimiz metnin hangi edebiyatçı yazmış,inceledigimiz metnin hangi edebiyatci yazmis,YAZAR_SORUSU,KITAP_ADI_SORUSU,False
şu yapıtın kalem sahibi kim öğrenebilir miyim,su yapitin kalem sahibi kim ogrenebilir miyim,YAZAR_SORUSU,BOT_YARATICI,False
incelediğimiz metnin eseri ortaya koyan kim,inceledigimiz metnin eseri ortaya koyan kim,YAZAR_SORUSU,BOT_YARATICI,False
şu yapıtın yazar adı nedir öğrenebilir miyim,su yapitin yazar adi nedir ogrenebilir miyim,YAZAR_SORUSU,HAVA_SORUSU,False
şu yapıtın hangi edebiyatçı yazmış,su yapitin hangi edebiyatci yazmis,YAZAR_SORUSU,TARIH_SAAT_SORUSU,False
şu yapıtın kalem sahibi kim,su yapitin kalem sahibi kim,YAZAR_SORUSU,BOT_YARATICI,False
incelediğimiz metnin yazar adı nedir,inceledigimiz metnin yazar adi nedir,YAZAR_SORUSU,KITAP_ADI_SORUSU,False
karbonat yerine kabartma tozu kullanılabilir mi,karbonat yerine kabartma tozu kullanilabilir mi,YEMEK_TARIFI_SORUSU,HAVA_SORUSU,False
safran yerine ne kullanılabilir,safran yerine ne kullanilabilir,YEMEK_TARIFI_SORUSU,YARDIM,False
şimdi tür etiketi üret lütfen,simdi tur etiketi uret lutfen,YENI_KITAP_SINIFLANDIR,GENEL_SOHBET,False
şimdi metnin edebî sınıfını bul,simdi metnin edeb sinifini bul,YENI_KITAP_SINIFLANDIR,GENEL_SOHBET,False
yeni bir örnek için metnin edebî sınıfını bul,yeni bir ornek icin metnin edeb sinifini bul,YENI_KITAP_SINIFLANDIR,YEMEK_TARIFI_SORUSU,False
şimdi tür etiketi üret,simdi tur etiketi uret,YENI_KITAP_SINIFLANDIR,GENEL_SOHBET,False
ev dekorasyonu öner,ev dekorasyonu oner,ALAN_DISI,ALAN_DISI,True
kısaca futbol maçı sonucu ver,kisaca futbol maci sonucu ver,ALAN_DISI,ALAN_DISI,True
lütfen bir sözleşme hazırla istiyorum,lutfen bir sozlesme hazirla istiyorum,ALAN_DISI,ALAN_DISI,True
kısaca ev dekorasyonu öner istiyorum,kisaca ev dekorasyonu oner istiyorum,ALAN_DISI,ALAN_DISI,True
kısaca ev dekorasyonu öner olur mu,kisaca ev dekorasyonu oner olur mu,ALAN_DISI,ALAN_DISI,True
bana gezi rotası çiz olur mu,bana gezi rotasi ciz olur mu,ALAN_DISI,ALAN_DISI,True
bir sınıf kodla istiyorum,bir sinif kodla istiyorum,ALAN_DISI,ALAN_DISI,True
lütfen kod yazıp gönder olur mu,lutfen kod yazip gonder olur mu,ALAN_DISI,ALAN_DISI,True
kısaca yazılım kodu üret istiyorum,kisaca yazilim kodu uret istiyorum,ALAN_DISI,ALAN_DISI,True
gezi rotası çiz olur mu,gezi rotasi ciz olur mu,ALAN_DISI,ALAN_DISI,True
bana kod yazıp gönder olur mu,bana kod yazip gonder olur mu,ALAN_DISI,ALAN_DISI,True
bana futbol maçı sonucu ver istiyorum,bana futbol maci sonucu ver istiyorum,ALAN_DISI,ALAN_DISI,True
kısaca adını ve görevini söyle söyler misin,kisaca adini ve gorevini soyle soyler misin,BOT_KIMLIK,BOT_KIMLIK,True
kısaca karşımdaki asistan kim lütfen,kisaca karsimdaki asistan kim lutfen,BOT_KIMLIK,BOT_KIMLIK,True
kısaca karşımdaki asistan kim söyler misin,kisaca karsimdaki asistan kim soyler misin,BOT_KIMLIK,BOT_KIMLIK,True
ne tür bir yazılımsın,ne tur bir yazilimsin,BOT_KIMLIK,BOT_KIMLIK,True
kendi kimliğini açıkla,kendi kimligini acikla,BOT_KIMLIK,BOT_KIMLIK,True
tek cümleyle kendi kimliğini açıkla lütfen,tek cumleyle kendi kimligini acikla lutfen,BOT_KIMLIK,BOT_KIMLIK,True
ne tür bir yazılımsın söyler misin,ne tur bir yazilimsin soyler misin,BOT_KIMLIK,BOT_KIMLIK,True
doğrudan hangi ortamda çalışıyorsun,dogrudan hangi ortamda calisiyorsun,BOT_KONUM,BOT_KONUM,True
doğrudan hangi ortamda çalışıyorsun söyler misin,dogrudan hangi ortamda calisiyorsun soyler misin,BOT_KONUM,BOT_KONUM,True
fiziksel olarak hangi ortamda çalışıyorsun söyler misin,fiziksel olarak hangi ortamda calisiyorsun soyler misin,BOT_KONUM,BOT_KONUM,True
hangi ortamda çalışıyorsun söyler misin,hangi ortamda calisiyorsun soyler misin,BOT_KONUM,BOT_KONUM,True
şu anda yaşadığın bir yer var mı,su anda yasadigin bir yer var mi,BOT_KONUM,BOT_KONUM,True
fiziksel olarak yaşadığın bir yer var mı söyler misin,fiziksel olarak yasadigin bir yer var mi soyler misin,BOT_KONUM,BOT_KONUM,True
şu anda hangi ortamda çalışıyorsun söyler misin,su anda hangi ortamda calisiyorsun soyler misin,BOT_KONUM,BOT_KONUM,True
fiziksel olarak bir şehirde mi bulunuyorsun,fiziksel olarak bir sehirde mi bulunuyorsun,BOT_KONUM,BOT_KONUM,True
şu anda senin adresin var mı,su anda senin adresin var mi,BOT_KONUM,BOT_KONUM,True
fiziksel olarak senin adresin var mı,fiziksel olarak senin adresin var mi,BOT_KONUM,BOT_KONUM,True
fiziksel olarak hangi ortamda çalışıyorsun,fiziksel olarak hangi ortamda calisiyorsun,BOT_KONUM,BOT_KONUM,True
fiziksel olarak nerede barınıyorsun,fiziksel olarak nerede bariniyorsun,BOT_KONUM,BOT_KONUM,True
doğrudan senin adresin var mı,dogrudan senin adresin var mi,BOT_KONUM,BOT_KONUM,True
şu anda hangi cihazın içindesin söyler misin,su anda hangi cihazin icindesin soyler misin,BOT_KONUM,BOT_KONUM,True
merak ettim bu projenin geliştiricisi kim,merak ettim bu projenin gelistiricisi kim,BOT_YARATICI,BOT_YARATICI,True
doğrudan bu projenin geliştiricisi kim söyler misin,dogrudan bu projenin gelistiricisi kim soyler misin,BOT_YARATICI,BOT_YARATICI,True
merak ettim seni oluşturan kişinin adı ne lütfen,merak ettim seni olusturan kisinin adi ne lutfen,BOT_YARATICI,BOT_YARATICI,True
merak ettim bu uygulamayı hazırlayan kim lütfen,merak ettim bu uygulamayi hazirlayan kim lutfen,BOT_YARATICI,BOT_YARATICI,True
merak ettim bu projenin geliştiricisi kim lütfen,merak ettim bu projenin gelistiricisi kim lutfen,BOT_YARATICI,BOT_YARATICI,True
merak ettim programını kim yazdı lütfen,merak ettim programini kim yazdi lutfen,BOT_YARATICI,BOT_YARATICI,True
merak ettim geliştirme işini kim yaptı söyler misin,merak ettim gelistirme isini kim yapti soyler misin,BOT_YARATICI,BOT_YARATICI,True
bu projenin geliştiricisi kim lütfen,bu projenin gelistiricisi kim lutfen,BOT_YARATICI,BOT_YARATICI,True
merak ettim seni oluşturan kişinin adı ne,merak ettim seni olusturan kisinin adi ne,BOT_YARATICI,BOT_YARATICI,True
kısaca geliştirme işini kim yaptı söyler misin,kisaca gelistirme isini kim yapti soyler misin,BOT_YARATICI,BOT_YARATICI,True
bu uygulamayı hazırlayan kim lütfen,bu uygulamayi hazirlayan kim lutfen,BOT_YARATICI,BOT_YARATICI,True
doğrudan bu projenin geliştiricisi kim,dogrudan bu projenin gelistiricisi kim,BOT_YARATICI,BOT_YARATICI,True
doğrudan bu uygulamayı hazırlayan kim lütfen,dogrudan bu uygulamayi hazirlayan kim lutfen,BOT_YARATICI,BOT_YARATICI,True
merak ettim seni oluşturan kişinin adı ne söyler misin,merak ettim seni olusturan kisinin adi ne soyler misin,BOT_YARATICI,BOT_YARATICI,True
şu anda yaşını nasıl hesaplıyorsun lütfen,su anda yasini nasil hesapliyorsun lutfen,BOT_YAS,BOT_YAS,True
bir doğum yılın bulunuyor mu lütfen,bir dogum yilin bulunuyor mu lutfen,BOT_YAS,BOT_YAS,True
şu anda bir doğum yılın bulunuyor mu lütfen,su anda bir dogum yilin bulunuyor mu lutfen,BOT_YAS,BOT_YAS,True
merak ettim senin doğduğun bir gün var mı söyler misin,merak ettim senin dogdugun bir gun var mi soyler misin,BOT_YAS,BOT_YAS,True
doğrudan bir yaşa sahip misin lütfen,dogrudan bir yasa sahip misin lutfen,BOT_YAS,BOT_YAS,True
merak ettim yaşını nasıl hesaplıyorsun,merak ettim yasini nasil hesapliyorsun,BOT_YAS,BOT_YAS,True
doğrudan senin doğduğun bir gün var mı söyler misin,dogrudan senin dogdugun bir gun var mi soyler misin,BOT_YAS,BOT_YAS,True
merak ettim bir doğum yılın bulunuyor mu söyler misin,merak ettim bir dogum yilin bulunuyor mu soyler misin,BOT_YAS,BOT_YAS,True
şu anda yaşını nasıl hesaplıyorsun,su anda yasini nasil hesapliyorsun,BOT_YAS,BOT_YAS,True
merak ettim ne kadar zamandır aktifsin söyler misin,merak ettim ne kadar zamandir aktifsin soyler misin,BOT_YAS,BOT_YAS,True
kısaca hangi özelliklere sahipsin,kisaca hangi ozelliklere sahipsin,BOT_YETENEK,BOT_YETENEK,True
ayrıntılı olarak yardım edebildiğin konular hangileri anlatır mısın,ayrintili olarak yardim edebildigin konular hangileri anlatir misin,BOT_YETENEK,BOT_YETENEK,True
doğrudan görev alanın nedir anlatır mısın,dogrudan gorev alanin nedir anlatir misin,BOT_YETENEK,BOT_YETENEK,True
ayrıntılı olarak benden gelen hangi soruları çözersin,ayrintili olarak benden gelen hangi sorulari cozersin,BOT_YETENEK,BOT_YETENEK,True
ayrıntılı olarak kullanıcıya ne sunuyorsun anlatır mısın,ayrintili olarak kullaniciya ne sunuyorsun anlatir misin,BOT_YETENEK,BOT_YETENEK,True
kısaca hangi işleri başarabilirsin anlatır mısın,kisaca hangi isleri basarabilirsin anlatir misin,BOT_YETENEK,BOT_YETENEK,True
doğrudan hangi işleri başarabilirsin lütfen,dogrudan hangi isleri basarabilirsin lutfen,BOT_YETENEK,BOT_YETENEK,True
doğrudan hangi özelliklere sahipsin anlatır mısın,dogrudan hangi ozelliklere sahipsin anlatir misin,BOT_YETENEK,BOT_YETENEK,True
kısaca hangi özelliklere sahipsin lütfen,kisaca hangi ozelliklere sahipsin lutfen,BOT_YETENEK,BOT_YETENEK,True
ayrıntılı olarak görev alanın nedir anlatır mısın,ayrintili olarak gorev alanin nedir anlatir misin,BOT_YETENEK,BOT_YETENEK,True
şu eserle ilgili konuyu biraz daha aç lütfen,su eserle ilgili konuyu biraz daha ac lutfen,DETAY_SORUSU,DETAY_SORUSU,True
şu eserle ilgili yüzeysel olmayan bilgi ver,su eserle ilgili yuzeysel olmayan bilgi ver,DETAY_SORUSU,DETAY_SORUSU,True
incelediğimiz kitap için konuyu biraz daha aç,inceledigimiz kitap icin konuyu biraz daha ac,DETAY_SORUSU,DETAY_SORUSU,True
şu eserle ilgili konuyu biraz daha aç,su eserle ilgili konuyu biraz daha ac,DETAY_SORUSU,DETAY_SORUSU,True
incelediğimiz kitap için yüzeysel olmayan bilgi ver,inceledigimiz kitap icin yuzeysel olmayan bilgi ver,DETAY_SORUSU,DETAY_SORUSU,True
şu eserle ilgili yüzeysel olmayan bilgi ver lütfen,su eserle ilgili yuzeysel olmayan bilgi ver lutfen,DETAY_SORUSU,DETAY_SORUSU,True
incelediğimiz kitap için ayrıntıları çoğalt,inceledigimiz kitap icin ayrintilari cogalt,DETAY_SORUSU,DETAY_SORUSU,True
şu eserle ilgili daha kapsamlı açıklama yap lütfen,su eserle ilgili daha kapsamli aciklama yap lutfen,DETAY_SORUSU,DETAY_SORUSU,True
şu eserle ilgili ek bilgilerle genişlet,su eserle ilgili ek bilgilerle genislet,DETAY_SORUSU,DETAY_SORUSU,True
şu eserle ilgili ek bilgilerle genişlet lütfen,su eserle ilgili ek bilgilerle genislet lutfen,DETAY_SORUSU,DETAY_SORUSU,True
şu eserle ilgili ayrıntıları çoğalt,su eserle ilgili ayrintilari cogalt,DETAY_SORUSU,DETAY_SORUSU,True
incelediğimiz kitap için ek bilgilerle genişlet,inceledigimiz kitap icin ek bilgilerle genislet,DETAY_SORUSU,DETAY_SORUSU,True
şu eserle ilgili daha kapsamlı açıklama yap,su eserle ilgili daha kapsamli aciklama yap,DETAY_SORUSU,DETAY_SORUSU,True
incelediğimiz kitap için daha kapsamlı açıklama yap,inceledigimiz kitap icin daha kapsamli aciklama yap,DETAY_SORUSU,DETAY_SORUSU,True
şu eserle ilgili ayrıntıları çoğalt lütfen,su eserle ilgili ayrintilari cogalt lutfen,DETAY_SORUSU,DETAY_SORUSU,True
açıkçası seninle kitap konuşmak hoş şimdi,acikcasi seninle kitap konusmak hos simdi,GENEL_SOHBET,GENEL_SOHBET,True
bugün sohbet etmeye devam edelim şimdi,bugun sohbet etmeye devam edelim simdi,GENEL_SOHBET,GENEL_SOHBET,True
konuşmak bana iyi geliyor şimdi,konusmak bana iyi geliyor simdi,GENEL_SOHBET,GENEL_SOHBET,True
bugün sohbet etmeye devam edelim,bugun sohbet etmeye devam edelim,GENEL_SOHBET,GENEL_SOHBET,True
bugün aklımdakileri paylaşacağım şimdi,bugun aklimdakileri paylasacagim simdi,GENEL_SOHBET,GENEL_SOHBET,True
şu sıralar bir konu üzerine konuşalım,su siralar bir konu uzerine konusalim,GENEL_SOHBET,GENEL_SOHBET,True
şu sıralar biraz muhabbet etmek isterim biraz,su siralar biraz muhabbet etmek isterim biraz,GENEL_SOHBET,GENEL_SOHBET,True
seninle kitap konuşmak hoş biraz,seninle kitap konusmak hos biraz,GENEL_SOHBET,GENEL_SOHBET,True
şu sıralar bir konu üzerine konuşalım şimdi,su siralar bir konu uzerine konusalim simdi,GENEL_SOHBET,GENEL_SOHBET,True
seninle kitap konuşmak hoş,seninle kitap konusmak hos,GENEL_SOHBET,GENEL_SOHBET,True
açıkçası konuşmak bana iyi geliyor,acikcasi konusmak bana iyi geliyor,GENEL_SOHBET,GENEL_SOHBET,True
bugün biraz muhabbet etmek isterim şimdi,bugun biraz muhabbet etmek isterim simdi,GENEL_SOHBET,GENEL_SOHBET,True
şu sıralar aklımdakileri paylaşacağım,su siralar aklimdakileri paylasacagim,GENEL_SOHBET,GENEL_SOHBET,True
bugün biraz muhabbet etmek isterim biraz,bugun biraz muhabbet etmek isterim biraz,GENEL_SOHBET,GENEL_SOHBET,True
